      Address        Name         Hex         Decimal                       Binary                       Char  
0312              ADC1BUF9  0x0000        0             00000000 00000000                             '..'     
0314              ADC1BUFA  0x0000        0             00000000 00000000                             '..'     
0316              ADC1BUFB  0x0000        0             00000000 00000000                             '..'     
0318              ADC1BUFC  0x0000        0             00000000 00000000                             '..'     
031A              ADC1BUFD  0x0000        0             00000000 00000000                             '..'     
031C              ADC1BUFE  0x0000        0             00000000 00000000                             '..'     
031E              ADC1BUFF  0x0000        0             00000000 00000000                             '..'     
0320              AD1CON1   0x0000        0             00000000 00000000                             '..'     
0322              AD1CON2   0x0000        0             00000000 00000000                             '..'     
0324              AD1CON3   0x0000        0             00000000 00000000                             '..'     
0328              AD1CHS    0x0000        0             00000000 00000000                             '..'     
032A              AD1PCFGH  0x0000        0             00000000 00000000                             '..'     
032C              AD1PCFGL  0x0000        0             00000000 00000000                             '..'     
0330              AD1CSSL   0x0000        0             00000000 00000000                             '..'     
0332              AD1CSSH   0x0000        0             00000000 00000000                             '..'     
033C              CTMUCON   0x0000        0             00000000 00000000                             '..'     
033E              CTMUICON  0x0000        0             00000000 00000000                             '..'     
0480              U1OTGIR   0x0000        0             00000000 00000000                             '..'     
0482              U1OTGIE   0x0000        0             00000000 00000000                             '..'     
0484              U1OTGSTAT 0x0000        0             00000000 00000000                             '..'     
0486              U1OTGCON  0x0000        0             00000000 00000000                             '..'     
0488              U1PWRC    0x0000        0             00000000 00000000                             '..'     
048A              U1IR      0x0000        0             00000000 00000000                             '..'     
048C              U1IE      0x0000        0             00000000 00000000                             '..'     
048E              U1EIR     0x0000        0             00000000 00000000                             '..'     
0490              U1EIE     0x0000        0             00000000 00000000                             '..'     
0492              U1STAT    0x0000        0             00000000 00000000                             '..'     
0494              U1CON     0x0000        0             00000000 00000000                             '..'     
0496              U1ADDR    0x0000        0             00000000 00000000                             '..'     
0498              U1BDTP1   0x0000        0             00000000 00000000                             '..'     
049A              U1FRML    0x0000        0             00000000 00000000                             '..'     
049C              U1FRMH    0x0000        0             00000000 00000000                             '..'     
049E              U1TOK     0x0000        0             00000000 00000000                             '..'     
04A0              U1SOF     0x0000        0             00000000 00000000                             '..'     
04A6              U1CNFG1   0x0000        0             00000000 00000000                             '..'     
04A8              U1CNFG2   0x0000        0             00000000 00000000                             '..'     
04AA              U1EP0     0x0000        0             00000000 00000000                             '..'     
04AC              U1EP1     0x0000        0             00000000 00000000                             '..'     
04AE              U1EP2     0x0000        0             00000000 00000000                             '..'     
04B0              U1EP3     0x0000        0             00000000 00000000                             '..'     
04B2              U1EP4     0x0000        0             00000000 00000000                             '..'     
04B4              U1EP5     0x0000        0             00000000 00000000                             '..'     
04B6              U1EP6     0x0000        0             00000000 00000000                             '..'     
04B8              U1EP7     0x0000        0             00000000 00000000                             '..'     
04BA              U1EP8     0x0000        0             00000000 00000000                             '..'     
04BC              U1EP9     0x0000        0             00000000 00000000                             '..'     
04BE              U1EP10    0x0000        0             00000000 00000000                             '..'     
04C0              U1EP11    0x0000        0             00000000 00000000                             '..'     
04C2              U1EP12    0x0000        0             00000000 00000000                             '..'     
04C4              U1EP13    0x0000        0             00000000 00000000                             '..'     
04C6              U1EP14    0x0000        0             00000000 00000000                             '..'     
04C8              U1EP15    0x0000        0             00000000 00000000                             '..'     
04CC              U1PWMRRS  0x0000        0             00000000 00000000                             '..'     
04CE              U1PWMCON  0x0000        0             00000000 00000000                             '..'     
0600              PMCON     0x0000        0             00000000 00000000                             '..'     
0602              PMMODE    0x0000        0             00000000 00000000                             '..'     
0604              PMADDR    0x0000        0             00000000 00000000                             '..'     
0606              PMDOUT2   0x0000        0             00000000 00000000                             '..'     
0608              PMDIN1    0x0000        0             00000000 00000000                             '..'     
060A              PMDIN2    0x0000        0             00000000 00000000                             '..'     
060C              PMAEN     0x0000        0             00000000 00000000                             '..'     
060E              PMSTAT    0x008F        143           00000000 10001111                             '.?'     
0620              ALRMVAL   0x0000        0             00000000 00000000                             '..'     
0622              ALCFGRPT  0x0000        0             00000000 00000000                             '..'     
0624              RTCVAL    0x0000        0             00000000 00000000                             '..'     
0626              RCFGCAL   0x0000        0             00000000 00000000                             '..'     
0630              CMSTAT    0x0000        0             00000000 00000000                             '..'     
0632              CVRCON    0x0000        0             00000000 00000000                             '..'     
0634              CM1CON    0x0000        0             00000000 00000000                             '..'     
0636              CM2CON    0x0000        0             00000000 00000000                             '..'     
0638              CM3CON    0x0000        0             00000000 00000000                             '..'     
0640              CRCCON    0x0040        64            00000000 01000000                             '.@'     
0642              CRCXOR    0x0000        0             00000000 00000000                             '..'     
0644              CRCDAT    0x0000        0             00000000 00000000                             '..'     
0646              CRCWDAT   0x0000        0             00000000 00000000                             '..'     
0680              RPINR0    0x3F00        16128         00111111 00000000                             '?.'     
0682              RPINR1    0x3F3F        16191         00111111 00111111                             '??'     
0684              RPINR2    0x3F3F        16191         00111111 00111111                             '??'     
0686              RPINR3    0x3F3F        16191         00111111 00111111                             '??'     
0688              RPINR4    0x3F3F        16191         00111111 00111111                             '??'     
068E              RPINR7    0x3F3F        16191         00111111 00111111                             '??'     
0690              RPINR8    0x3F3F        16191         00111111 00111111                             '??'     
0692              RPINR9    0x3F3F        16191         00111111 00111111                             '??'     
